order_id,guest_id,activity id,activity_name,date_booking,country_activity,device_type
102455,128970,7097,Activity 7097,30/10/16,Singapore,Mobile
110039,137695,9461,Activity 9461,23/11/16,Thailand,Mobile
96020,120437,3056,Activity 3056,12/10/16,Singapore,PC
123013,151245,10277,Activity 10277,25/12/16,Japan,PC
73506,92931,3481,Activity 3481,29/7/16,Indonesia,PC
80574,103935,10277,Activity 10277,23/8/16,Japan,PC
119529,147622,7014,Activity 7014,18/12/16,Singapore,Mobile
62185,79810,10369,Activity 10369,4/6/16,Singapore,PC
97496,123393,7245,Activity 7245,17/10/16,Japan,PC
105730,96377,4311,Activity 4311,8/11/16,Japan,Mobile
81189,104601,1625,Activity 1625,25/8/16,Singapore,Mobile
97867,123862,7008,Activity 7008,18/10/16,Japan,PC
110365,137543,2079,Activity 2079,24/11/16,Japan,PC
104287,131105,8018,Activity 8018,4/11/16,Thailand,PC
118415,146650,7051,Activity 7051,16/12/16,Singapore,PC
102049,128601,10277,Activity 10277,29/10/16,Japan,PC
104089,130656,7051,Activity 7051,4/11/16,Singapore,Mobile
64087,82320,3535,Activity 3535,15/6/16,Japan,PC
112574,139388,7051,Activity 7051,2/12/16,Singapore,Mobile
96053,121292,1625,Activity 1625,13/10/16,Singapore,PC
93462,118187,1625,Activity 1625,4/10/16,Singapore,PC
105303,132216,10277,Activity 10277,7/11/16,Japan,PC
121293,149556,3088,Activity 3088,22/12/16,Singapore,Mobile
119377,125164,7051,Activity 7051,18/12/16,Singapore,Mobile
98730,124885,494,Activity 494,20/10/16,Japan,PC
107430,134445,9461,Activity 9461,14/11/16,Thailand,PC
91938,116383,3087,Activity 3087,29/9/16,Indonesia,Mobile
122052,150252,3481,Activity 3481,23/12/16,Indonesia,Mobile
108671,136037,10277,Activity 10277,18/11/16,Japan,PC
108110,135337,1205,Activity 1205,16/11/16,Singapore,PC
112722,139557,7887,Activity 7887,2/12/16,Singapore,PC
81059,104425,3481,Activity 3481,24/8/16,Indonesia,Mobile
73923,95791,7329,Activity 7329,31/7/16,Japan,PC
92836,116432,1625,Activity 1625,2/10/16,Singapore,Mobile
75682,98144,2650,Activity 2650,6/8/16,Japan,Mobile
126088,154351,1039,Activity 1039,29/12/16,Indonesia,Mobile
90844,115006,4654,Activity 4654,25/9/16,Singapore,Mobile
76737,92077,4902,Activity 4902,10/8/16,Japan,
117486,145741,3087,Activity 3087,14/12/16,Indonesia,PC
104994,131897,1629,Activity 1629,6/11/16,Japan,PC
77228,100259,1625,Activity 1625,12/8/16,Singapore,Mobile
91463,115790,10277,Activity 10277,27/9/16,Japan,Mobile
69774,89709,405,Activity 405,13/7/16,Japan,PC
64592,83024,3481,Activity 3481,18/6/16,Indonesia,PC
65916,84810,10277,Activity 10277,25/6/16,Japan,PC
83356,106068,1119,Activity 1119,1/9/16,Indonesia,Mobile
83887,107167,4654,Activity 4654,2/9/16,Singapore,Mobile
124764,153002,10190,Activity 10190,28/12/16,Japan,PC
62966,80815,9215,Activity 9215,8/6/16,Indonesia,Mobile
73484,95281,10277,Activity 10277,29/7/16,Japan,Mobile
124075,152333,1625,Activity 1625,27/12/16,Singapore,PC
107974,135181,1625,Activity 1625,16/11/16,Singapore,PC
100163,126595,1625,Activity 1625,24/10/16,Singapore,PC
104423,131278,7886,Activity 7886,5/11/16,Singapore,Mobile
100897,127443,3481,Activity 3481,26/10/16,Indonesia,Mobile
85815,63914,4588,Activity 4588,8/9/16,Japan,PC
62267,79925,6598,Activity 6598,4/6/16,Thailand,PC
118509,146802,1625,Activity 1625,16/12/16,Singapore,Mobile
96820,122513,10277,Activity 10277,15/10/16,Japan,PC
73353,95168,10277,Activity 10277,28/7/16,Japan,PC
69531,89931,4654,Activity 4654,12/7/16,Singapore,PC
119962,145423,5405,Activity 5405,19/12/16,Thailand,PC
118880,147137,7051,Activity 7051,17/12/16,Singapore,Mobile
98744,124676,3087,Activity 3087,20/10/16,Indonesia,PC
112075,138470,2650,Activity 2650,30/11/16,Japan,PC
81633,104618,3481,Activity 3481,26/8/16,Indonesia,
111645,135564,10277,Activity 10277,29/11/16,Japan,PC
83201,106312,3481,Activity 3481,31/8/16,Indonesia,PC
98622,124770,4223,Activity 4223,20/10/16,Japan,Mobile
108278,135565,3481,Activity 3481,17/11/16,Indonesia,Mobile
106741,131719,4654,Activity 4654,12/11/16,Singapore,Mobile
94532,119841,3722,Activity 3722,8/10/16,Japan,Mobile
125114,152557,7051,Activity 7051,28/12/16,Singapore,PC
100201,126643,1625,Activity 1625,25/10/16,Singapore,Mobile
89108,112752,7092,Activity 7092,18/9/16,Singapore,PC
125319,153578,4654,Activity 4654,28/12/16,Singapore,Mobile
103830,130625,1625,Activity 1625,3/11/16,Singapore,PC
107797,134981,9463,Activity 9463,15/11/16,Thailand,PC
79086,102498,9906,Activity 9906,18/8/16,Singapore,Mobile
81915,105357,7014,Activity 7014,27/8/16,Singapore,Mobile
113374,141343,7051,Activity 7051,4/12/16,Singapore,Mobile
91220,115515,3481,Activity 3481,27/9/16,Indonesia,PC
90232,114214,10277,Activity 10277,23/9/16,Japan,PC
115462,143654,10277,Activity 10277,10/12/16,Japan,PC
94284,119525,10277,Activity 10277,7/10/16,Japan,Mobile
76706,99524,3481,Activity 3481,10/8/16,Indonesia,Mobile
113421,133368,9215,Activity 9215,4/12/16,Indonesia,PC
63469,69300,9215,Activity 9215,11/6/16,Indonesia,PC
126310,154551,1119,Activity 1119,30/12/16,Indonesia,PC
116894,145238,1625,Activity 1625,13/12/16,Singapore,PC
105393,132347,9392,Activity 9392,7/11/16,Thailand,PC
102167,128717,1039,Activity 1039,29/10/16,Indonesia,PC
112331,139887,1863,Activity 1863,1/12/16,Japan,PC
90088,113935,2672,Activity 2672,22/9/16,Japan,PC
106001,133072,10277,Activity 10277,9/11/16,Japan,Mobile
88906,112470,3481,Activity 3481,17/9/16,Indonesia,Mobile
113699,140643,8119,Activity 8119,5/12/16,Japan,PC
103455,130212,7051,Activity 7051,2/11/16,Singapore,Mobile
97347,121309,1119,Activity 1119,16/10/16,Indonesia,Mobile
125482,153760,7092,Activity 7092,29/12/16,Singapore,PC
91599,115961,10277,Activity 10277,28/9/16,Japan,Mobile
125959,154208,1625,Activity 1625,29/12/16,Singapore,PC
103099,129667,3088,Activity 3088,1/11/16,Singapore,Mobile
89721,113507,1639,Activity 1639,20/9/16,Japan,PC
126489,154714,4654,Activity 4654,30/12/16,Singapore,Mobile
89525,113268,10277,Activity 10277,20/9/16,Japan,Mobile
123533,151609,9463,Activity 9463,26/12/16,Thailand,PC
126526,153882,7092,Activity 7092,30/12/16,Singapore,PC
65702,84508,3481,Activity 3481,24/6/16,Indonesia,PC
108772,136160,7051,Activity 7051,19/11/16,Singapore,PC
72040,89457,10277,Activity 10277,22/7/16,Japan,PC
112735,140611,7051,Activity 7051,2/12/16,Singapore,PC
76003,98556,10277,Activity 10277,7/8/16,Japan,PC
93144,117933,7245,Activity 7245,3/10/16,Japan,PC
122364,150600,1625,Activity 1625,24/12/16,Singapore,PC
94694,113448,3503,Activity 3503,8/10/16,Japan,PC
88317,90994,1119,Activity 1119,15/9/16,Indonesia,PC
63037,80932,10277,Activity 10277,9/6/16,Japan,PC
72111,93417,1039,Activity 1039,23/7/16,Indonesia,Mobile
62161,79779,4654,Activity 4654,4/6/16,Singapore,Mobile
68240,86780,1039,Activity 1039,6/7/16,Indonesia,Mobile
103983,130776,7014,Activity 7014,4/11/16,Singapore,PC
87333,110739,4234,Activity 4234,12/9/16,Japan,PC
85478,108851,2650,Activity 2650,7/9/16,Japan,PC
117765,146067,7014,Activity 7014,15/12/16,Singapore,PC
107678,132890,6310,Activity 6310,15/11/16,Japan,PC
115856,144125,4654,Activity 4654,11/12/16,Singapore,PC
122596,147994,9461,Activity 9461,24/12/16,Thailand,Mobile
65502,84236,10277,Activity 10277,23/6/16,Japan,PC
91028,115222,4567,Activity 4567,26/9/16,Japan,PC
127033,155234,7051,Activity 7051,31/12/16,Singapore,PC
115723,143916,1039,Activity 1039,10/12/16,Indonesia,Mobile
119341,146776,7092,Activity 7092,18/12/16,Singapore,Mobile
122820,151047,10277,Activity 10277,24/12/16,Japan,PC
67070,86394,6977,Activity 6977,1/7/16,Thailand,Mobile
124313,152560,7051,Activity 7051,27/12/16,Singapore,PC
68159,87988,4654,Activity 4654,6/7/16,Singapore,PC
69961,5169,5369,Activity 5369,14/7/16,Japan,PC
110158,137848,7051,Activity 7051,24/11/16,Singapore,PC
72160,93485,3481,Activity 3481,23/7/16,Indonesia,PC
96940,122276,3088,Activity 3088,15/10/16,Singapore,PC
77702,100922,634,Activity 634,13/8/16,Japan,PC
119442,147055,4654,Activity 4654,18/12/16,Singapore,Mobile
62135,79477,6665,Activity 6665,3/6/16,Thailand,PC
108891,136286,7051,Activity 7051,19/11/16,Singapore,Mobile
98756,124914,7014,Activity 7014,20/10/16,Singapore,PC
118383,146668,7496,Activity 7496,16/12/16,Singapore,Mobile
94824,120059,3087,Activity 3087,9/10/16,Indonesia,Mobile
108210,135473,1625,Activity 1625,17/11/16,Singapore,PC
116222,144484,1625,Activity 1625,12/12/16,Singapore,Mobile
78870,102288,1625,Activity 1625,17/8/16,Singapore,PC
63542,81608,4184,Activity 4184,12/6/16,Indonesia,PC
125783,154034,1625,Activity 1625,29/12/16,Singapore,Mobile
118652,146915,7051,Activity 7051,17/12/16,Singapore,PC
95552,121069,3056,Activity 3056,11/10/16,Singapore,PC
113631,141651,1625,Activity 1625,5/12/16,Singapore,PC
102090,128639,5005,Activity 5005,29/10/16,Indonesia,PC
115954,143430,1427,Activity 1427,11/12/16,Indonesia,Mobile
79019,102434,5962,Activity 5962,18/8/16,Japan,PC
109425,136890,3481,Activity 3481,21/11/16,Indonesia,Mobile
100919,127482,3087,Activity 3087,26/10/16,Indonesia,PC
105413,132374,1565,Activity 1565,7/11/16,Singapore,Mobile
85438,108805,1119,Activity 1119,7/9/16,Indonesia,Mobile
100639,127147,3215,Activity 3215,26/10/16,Japan,Mobile
99600,125909,10277,Activity 10277,23/10/16,Japan,PC
93633,118610,405,Activity 405,5/10/16,Japan,PC
63221,81176,5254,Activity 5254,10/6/16,Japan,PC
78963,102323,3481,Activity 3481,17/8/16,Indonesia,Mobile
119181,147378,7092,Activity 7092,18/12/16,Singapore,PC
89626,113399,4654,Activity 4654,20/9/16,Singapore,Mobile
63044,73987,1412,Activity 1412,9/6/16,Indonesia,PC
114630,142805,1205,Activity 1205,8/12/16,Singapore,PC
92804,117512,4654,Activity 4654,2/10/16,Singapore,Mobile
122348,150578,7051,Activity 7051,24/12/16,Singapore,Mobile
108465,132026,2852,Activity 2852,17/11/16,Japan,PC
75653,97364,4982,Activity 4982,6/8/16,Japan,
68841,88942,7051,Activity 7051,9/7/16,Singapore,Mobile
91376,115688,4654,Activity 4654,27/9/16,Singapore,Mobile
63890,82076,10277,Activity 10277,14/6/16,Japan,PC
97483,123380,1610,Activity 1610,17/10/16,Indonesia,Mobile
79637,103037,1119,Activity 1119,20/8/16,Indonesia,Mobile
110999,138743,7051,Activity 7051,26/11/16,Singapore,PC
69679,78033,4436,Activity 4436,13/7/16,Japan,PC
110034,137679,7949,Activity 7949,23/11/16,Thailand,PC
110531,138238,9215,Activity 9215,25/11/16,Indonesia,Mobile
105720,132738,3481,Activity 3481,8/11/16,Indonesia,Mobile
84760,107685,1510,Activity 1510,5/9/16,Indonesia,Mobile
63035,73987,2777,Activity 2777,9/6/16,Indonesia,PC
106992,134172,4527,Activity 4527,13/11/16,Japan,PC
100933,127504,3056,Activity 3056,27/10/16,Singapore,PC
86528,109941,9392,Activity 9392,10/9/16,Thailand,Mobile
84140,107446,1625,Activity 1625,3/9/16,Singapore,PC
78126,101449,5310,Activity 5310,15/8/16,Japan,PC
105384,94468,5459,Activity 5459,7/11/16,Indonesia,Mobile
90092,114004,7051,Activity 7051,22/9/16,Singapore,Mobile
89252,112969,4146,Activity 4146,19/9/16,Indonesia,PC
94977,120355,10369,Activity 10369,9/10/16,Singapore,PC
99393,125639,7051,Activity 7051,22/10/16,Singapore,PC
73817,95812,3087,Activity 3087,30/7/16,Indonesia,PC
90103,114012,7092,Activity 7092,22/9/16,Singapore,Mobile
88846,112408,1625,Activity 1625,17/9/16,Singapore,Mobile
99219,125428,1565,Activity 1565,22/10/16,Singapore,PC
73242,95049,1510,Activity 1510,28/7/16,Indonesia,PC
103637,130106,3639,Activity 3639,3/11/16,Indonesia,PC
113777,52150,3382,Activity 3382,5/12/16,Japan,PC
89095,112727,3087,Activity 3087,18/9/16,Indonesia,Mobile
104458,131317,7051,Activity 7051,5/11/16,Singapore,PC
89773,113581,10277,Activity 10277,21/9/16,Japan,Mobile
91240,115552,4654,Activity 4654,27/9/16,Singapore,PC
76424,99135,1625,Activity 1625,9/8/16,Singapore,Mobile
74890,97069,860,Activity 860,3/8/16,Indonesia,Mobile
124972,153238,4654,Activity 4654,28/12/16,Singapore,PC
87842,111242,3481,Activity 3481,14/9/16,Indonesia,Mobile
77240,97790,3481,Activity 3481,12/8/16,Indonesia,Mobile
101898,128455,1625,Activity 1625,29/10/16,Singapore,PC
90443,114489,3481,Activity 3481,23/9/16,Indonesia,PC
118820,140264,1625,Activity 1625,17/12/16,Singapore,Mobile
125889,154129,7014,Activity 7014,29/12/16,Singapore,Mobile
83385,106717,7245,Activity 7245,1/9/16,Japan,Mobile
118144,146437,7014,Activity 7014,16/12/16,Singapore,PC
117406,145664,1625,Activity 1625,14/12/16,Singapore,PC
73140,94888,7097,Activity 7097,27/7/16,Singapore,PC
107296,134488,1205,Activity 1205,14/11/16,Singapore,PC
62581,80337,1620,Activity 1620,6/6/16,Indonesia,PC
67450,85509,1620,Activity 1620,3/7/16,Indonesia,PC
116152,144420,10277,Activity 10277,11/12/16,Japan,Mobile
110561,138268,800,Activity 800,25/11/16,Indonesia,Mobile
79371,102769,1625,Activity 1625,19/8/16,Singapore,Mobile
107617,134756,7245,Activity 7245,14/11/16,Japan,PC
114692,142763,5389,Activity 5389,8/12/16,Thailand,Mobile
107164,134331,7014,Activity 7014,13/11/16,Singapore,PC
123868,152091,7051,Activity 7051,26/12/16,Singapore,Mobile
69393,89713,3481,Activity 3481,11/7/16,Indonesia,Mobile
68334,88258,5405,Activity 5405,7/7/16,Thailand,Mobile
120736,148206,7051,Activity 7051,21/12/16,Singapore,Mobile
92973,115956,3220,Activity 3220,3/10/16,Indonesia,Mobile
90354,114353,3087,Activity 3087,23/9/16,Indonesia,Mobile
64864,83384,9215,Activity 9215,20/6/16,Indonesia,PC
72406,93610,6598,Activity 6598,24/7/16,Thailand,Mobile
99007,125196,7051,Activity 7051,21/10/16,Singapore,PC
122498,150718,1625,Activity 1625,24/12/16,Singapore,PC
93574,60241,10277,Activity 10277,5/10/16,Japan,PC
89113,112759,10277,Activity 10277,18/9/16,Japan,PC
83446,78714,2079,Activity 2079,1/9/16,Japan,Mobile
123202,151010,1625,Activity 1625,25/12/16,Singapore,PC
97804,123798,10277,Activity 10277,18/10/16,Japan,PC
101702,121210,3056,Activity 3056,28/10/16,Singapore,Mobile
124134,152400,3481,Activity 3481,27/12/16,Indonesia,PC
84758,108064,1565,Activity 1565,5/9/16,Singapore,Mobile
97314,123161,10277,Activity 10277,16/10/16,Japan,Mobile
100599,127108,10277,Activity 10277,26/10/16,Japan,PC
119633,146017,8119,Activity 8119,19/12/16,Japan,Mobile
103569,130349,7550,Activity 7550,3/11/16,Indonesia,Mobile
98059,124069,10277,Activity 10277,18/10/16,Japan,Mobile
91229,115540,10277,Activity 10277,27/9/16,Japan,Mobile
105376,132320,9392,Activity 9392,7/11/16,Thailand,PC
98485,124625,1625,Activity 1625,20/10/16,Singapore,Mobile
108364,135671,1205,Activity 1205,17/11/16,Singapore,PC
116484,142996,3087,Activity 3087,12/12/16,Indonesia,PC
111436,137858,4654,Activity 4654,28/11/16,Singapore,Mobile
74766,96705,7014,Activity 7014,3/8/16,Singapore,PC
108232,135510,7051,Activity 7051,17/11/16,Singapore,PC
65838,84710,9215,Activity 9215,24/6/16,Indonesia,Mobile
111903,139748,7051,Activity 7051,30/11/16,Singapore,PC
61827,79332,3481,Activity 3481,2/6/16,Indonesia,Mobile
117309,145571,1625,Activity 1625,14/12/16,Singapore,PC
69090,89305,5286,Activity 5286,10/7/16,Thailand,PC
91393,115699,10277,Activity 10277,27/9/16,Japan,PC
125063,153326,7660,Activity 7660,28/12/16,Singapore,PC
104753,131640,1625,Activity 1625,6/11/16,Singapore,PC
126816,155065,3481,Activity 3481,31/12/16,Indonesia,Mobile
127046,153527,2347,Activity 2347,31/12/16,Indonesia,Mobile
107883,131950,10277,Activity 10277,15/11/16,Japan,PC
95128,115907,7886,Activity 7886,10/10/16,Singapore,Mobile
89274,112980,7092,Activity 7092,19/9/16,Singapore,Mobile
75585,98009,2650,Activity 2650,6/8/16,Japan,PC
126153,154423,1625,Activity 1625,30/12/16,Singapore,Mobile
117084,144106,5020,Activity 5020,14/12/16,Indonesia,PC
93210,100025,10277,Activity 10277,4/10/16,Japan,Mobile
85467,108832,2650,Activity 2650,7/9/16,Japan,PC
110676,136832,9890,Activity 9890,25/11/16,Thailand,Mobile
101130,127611,3088,Activity 3088,27/10/16,Singapore,PC
81995,105370,7014,Activity 7014,28/8/16,Singapore,Mobile
115989,144234,1625,Activity 1625,11/12/16,Singapore,PC
95846,121396,10277,Activity 10277,12/10/16,Japan,PC
93853,99290,4883,Activity 4883,6/10/16,Japan,Mobile
119463,147638,3477,Activity 3477,18/12/16,Japan,PC
96285,121904,1625,Activity 1625,13/10/16,Singapore,Mobile
90552,114591,3087,Activity 3087,24/9/16,Indonesia,Mobile
62193,79818,7051,Activity 7051,4/6/16,Singapore,PC
65267,83937,3393,Activity 3393,22/6/16,Indonesia,PC
96271,121887,1119,Activity 1119,13/10/16,Indonesia,PC
127028,155249,7051,Activity 7051,31/12/16,Singapore,PC
106843,133779,1039,Activity 1039,12/11/16,Indonesia,Mobile
106704,133569,7014,Activity 7014,12/11/16,Singapore,Mobile
92173,116715,10277,Activity 10277,30/9/16,Japan,Mobile
72145,93470,10277,Activity 10277,23/7/16,Japan,PC
64139,82304,405,Activity 405,15/6/16,Japan,Mobile
72282,93673,7014,Activity 7014,24/7/16,Singapore,Mobile
102492,129046,4654,Activity 4654,30/10/16,Singapore,Mobile
98077,123687,1625,Activity 1625,18/10/16,Singapore,PC
99619,125943,7051,Activity 7051,23/10/16,Singapore,Mobile
121178,143951,7092,Activity 7092,22/12/16,Singapore,PC
92783,50045,9215,Activity 9215,2/10/16,Indonesia,PC
109308,136789,7092,Activity 7092,21/11/16,Singapore,PC
108513,133181,10190,Activity 10190,18/11/16,Japan,PC
115555,143281,7014,Activity 7014,10/12/16,Singapore,PC
92637,117315,1625,Activity 1625,2/10/16,Singapore,PC
109252,136712,4654,Activity 4654,20/11/16,Singapore,Mobile
96781,122455,1625,Activity 1625,15/10/16,Singapore,Mobile
122462,150688,1119,Activity 1119,24/12/16,Indonesia,Mobile
97093,122861,3481,Activity 3481,15/10/16,Indonesia,PC
91088,115309,7051,Activity 7051,26/9/16,Singapore,Mobile
84194,106665,1777,Activity 1777,3/9/16,Japan,PC
124312,151517,1119,Activity 1119,27/12/16,Indonesia,PC
79377,102779,10277,Activity 10277,19/8/16,Japan,Mobile
115091,143301,7051,Activity 7051,9/12/16,Singapore,PC
98159,124212,405,Activity 405,19/10/16,Japan,PC
93447,118369,4654,Activity 4654,4/10/16,Singapore,Mobile
115212,143428,10277,Activity 10277,9/12/16,Japan,Mobile
101588,128081,1625,Activity 1625,28/10/16,Singapore,Mobile
61950,79391,10277,Activity 10277,2/6/16,Japan,PC
90160,111226,5812,Activity 5812,22/9/16,Japan,PC
93863,116246,10190,Activity 10190,6/10/16,Japan,PC
116639,144964,1625,Activity 1625,12/12/16,Singapore,PC
82715,106117,7245,Activity 7245,30/8/16,Japan,Mobile
112806,140697,1625,Activity 1625,2/12/16,Singapore,PC
68404,88341,3481,Activity 3481,7/7/16,Indonesia,Mobile
123268,151471,5005,Activity 5005,25/12/16,Indonesia,Mobile
70226,90918,2892,Activity 2892,15/7/16,Japan,PC
90344,114345,3168,Activity 3168,23/9/16,Indonesia,Mobile
101132,118120,7092,Activity 7092,27/10/16,Singapore,PC
115740,143957,7051,Activity 7051,10/12/16,Singapore,PC
67449,86721,2079,Activity 2079,3/7/16,Japan,PC
120073,148109,1119,Activity 1119,20/12/16,Indonesia,PC
111142,138888,1625,Activity 1625,27/11/16,Singapore,Mobile
65900,84782,10277,Activity 10277,25/6/16,Japan,PC
62560,80313,3913,Activity 3913,6/6/16,Japan,PC
108886,125164,9906,Activity 9906,19/11/16,Singapore,Mobile
120467,148720,7051,Activity 7051,20/12/16,Singapore,Mobile
110656,138382,1119,Activity 1119,25/11/16,Indonesia,PC
94105,119259,10277,Activity 10277,6/10/16,Japan,PC
67420,86833,1825,Activity 1825,2/7/16,Indonesia,Mobile
127164,155408,4654,Activity 4654,31/12/16,Singapore,PC
79336,102746,1625,Activity 1625,19/8/16,Singapore,Mobile
83619,106950,1625,Activity 1625,1/9/16,Singapore,Mobile
79664,102970,9215,Activity 9215,20/8/16,Indonesia,PC
63209,47335,10277,Activity 10277,10/6/16,Japan,PC
62550,80304,9215,Activity 9215,6/6/16,Indonesia,PC
106878,133066,9463,Activity 9463,12/11/16,Thailand,Mobile
98733,124888,3481,Activity 3481,20/10/16,Indonesia,Mobile
98486,124623,4184,Activity 4184,20/10/16,Indonesia,Mobile
110238,137926,3087,Activity 3087,24/11/16,Indonesia,Mobile
114819,143005,7051,Activity 7051,8/12/16,Singapore,PC
107143,132039,3929,Activity 3929,13/11/16,Japan,PC
108770,136157,1625,Activity 1625,19/11/16,Singapore,PC
64179,80729,10277,Activity 10277,16/6/16,Japan,PC
73814,93328,1119,Activity 1119,30/7/16,Indonesia,PC
77340,100420,3481,Activity 3481,12/8/16,Indonesia,PC
72803,94045,1364,Activity 1364,26/7/16,Indonesia,Mobile
116615,144932,10277,Activity 10277,12/12/16,Japan,PC
96615,122208,5389,Activity 5389,14/10/16,Thailand,PC
110688,138416,3481,Activity 3481,25/11/16,Indonesia,PC
118416,143900,1039,Activity 1039,16/12/16,Indonesia,Mobile
100910,127456,1625,Activity 1625,26/10/16,Singapore,Mobile
86866,110291,10277,Activity 10277,11/9/16,Japan,Mobile
91684,116045,7101,Activity 7101,28/9/16,Singapore,Mobile
102700,127371,2594,Activity 2594,31/10/16,Japan,PC
91359,115251,5312,Activity 5312,27/9/16,Japan,PC
119835,148084,7496,Activity 7496,19/12/16,Singapore,Mobile
102687,129307,10277,Activity 10277,31/10/16,Japan,PC
122593,148581,1039,Activity 1039,24/12/16,Indonesia,Mobile
104517,131394,9906,Activity 9906,5/11/16,Singapore,PC
113555,141554,2635,Activity 2635,5/12/16,Japan,PC
125883,154116,1625,Activity 1625,29/12/16,Singapore,PC
73046,94769,4654,Activity 4654,27/7/16,Singapore,PC
126733,154968,7051,Activity 7051,30/12/16,Singapore,PC
